Cargo,Military,Carrier,Cruise,Tankers
5.1082245e-13,8.3381326e-07,8.183631e-13,0.99999917,7.522207e-12
2.458597e-12,4.3103668e-10,1.2833836e-09,1.0,1.10490835e-11
1.6195272e-10,4.3692086e-08,1.749488e-12,1.0,9.598668e-11
2.6439525e-16,1.0,2.2747775e-14,4.9332127e-12,9.555566e-13
2.1110975e-09,0.009866208,0.00011420773,0.9900197,5.706543e-12
2.341061e-12,7.2362423e-06,1.51361e-10,0.99999285,3.3528677e-10
8.014644e-13,8.446505e-11,1.9428124e-11,1.0,2.1607624e-10
5.2672545e-12,1.0,6.2330905e-14,2.33599e-13,1.4668319e-12
1.2341071e-08,0.99999964,2.318673e-12,4.3019523e-07,2.922834e-11
0.09028604,4.8739294e-05,3.1323011e-06,0.909662,5.5702017e-08
6.7977473e-09,4.378539e-09,1.3875065e-08,1.0,9.359804e-10
3.271628e-12,9.835401e-12,8.139458e-11,1.0,4.0021014e-11
6.1804386e-13,6.1850963e-12,1.9727991e-10,1.0,5.5446526e-11
0.74795556,0.05759828,9.538486e-07,0.19444521,9.025591e-10
3.6899203e-13,1.0,1.5126878e-12,1.9027958e-11,2.6276765e-14
6.441308e-09,1.0,1.2371273e-11,1.4459251e-11,6.554533e-09
5.805345e-10,6.4194467e-07,3.4380007e-10,0.9999994,3.5594863e-10
1.0231047e-11,1.0,2.7536876e-13,2.525082e-15,3.3094048e-09
1.8543332e-11,1.0,6.074064e-13,1.11646725e-11,1.092626e-11
3.4870513e-06,2.6938285e-05,2.9725191e-09,0.9999696,8.8588616e-12
8.112642e-08,1.0,5.391071e-10,9.454035e-12,3.3895567e-10
2.3090115e-11,6.097337e-09,5.7127625e-10,1.0,2.909492e-12
7.3434783e-09,0.999998,2.8267614e-13,2.0750178e-06,1.5180851e-11
5.474489e-15,1.0645021e-12,2.5119347e-12,1.0,5.342508e-10
2.867894e-14,3.4278185e-06,1.5114757e-10,0.99999666,8.1165935e-11
6.1901517e-12,2.9432113e-05,3.288466e-09,0.9999707,5.5017997e-11
1.428204e-08,2.4567524e-07,1.7721412e-08,0.99999833,1.4959053e-06
4.9247478e-11,3.6674147e-10,2.6967974e-12,1.0,7.5664263e-13
3.3819052e-12,9.31419e-12,1.0248308e-13,1.0,1.9008995e-13
4.2463175e-11,1.2385666e-10,2.4281402e-10,1.0,3.160004e-12
5.1671815e-08,6.8021257e-07,2.4592751e-11,0.77645946,0.2235399
3.6361972e-10,2.8249136e-07,2.3905858e-07,0.9999994,6.880815e-08
1.553066e-08,0.023243975,1.1508771e-10,0.97639596,0.00036007058
3.0413867e-14,7.0128248e-12,1.9003613e-10,1.0,1.597205e-14
4.300296e-09,1.4155069e-06,4.059396e-08,0.99999857,1.4330815e-11
1.6227809e-09,2.3867187e-07,2.3252353e-08,0.99999976,2.6333493e-09
4.780496e-06,1.5442363e-07,1.869451e-08,0.9999951,8.4284646e-10
4.7917416e-07,4.362212e-08,1.9827505e-08,0.9999995,3.80702e-09
1.7274426e-09,3.268095e-11,3.4421202e-10,1.0,3.0851852e-11
7.1005e-10,4.650031e-06,1.6756067e-08,0.99999535,2.895329e-12
1.5391967e-07,0.12685908,1.2620976e-10,0.8731408,5.6381335e-09
5.378563e-13,1.1792698e-13,5.2848713e-14,1.0,2.8961717e-14
8.9623784e-14,2.1217183e-14,1.1874889e-10,1.0,1.4728387e-11
3.690657e-11,2.6840077e-10,5.9097975e-09,1.0,2.9612084e-11
1.0334962e-09,1.0,3.9047975e-14,1.2877171e-12,4.6578556e-13
7.739413e-15,1.0,6.643723e-17,1.8078228e-15,3.4019202e-12
3.4303242e-09,7.8488005e-10,4.7065027e-09,1.0,1.3838014e-09
2.4265103e-13,3.317573e-09,1.4944736e-11,1.0,4.7115256e-10
4.481674e-12,1.8554101e-12,2.1704692e-11,1.0,1.8728441e-12
7.33547e-09,2.554022e-10,5.071885e-09,1.0,9.55202e-10
4.5259203e-14,1.0,8.959236e-11,9.73156e-10,1.4333823e-11
0.0003558562,0.9993342,0.00030092653,1.3388005e-06,7.717923e-06
3.5917427e-07,5.727082e-05,0.008897312,0.9909879,5.7182137e-05
1.0313862e-06,0.3647817,2.261557e-05,0.6351923,2.4194255e-06
6.12086e-10,1.10092344e-07,3.235084e-10,0.9999999,5.1415977e-12
1.9680627e-05,2.1989278e-07,1.6202597e-08,0.9999801,2.9241375e-12
3.651571e-06,3.8720716e-09,5.5056812e-08,0.9999963,1.979544e-08
1.0707716e-08,7.80595e-09,6.1721844e-10,1.0,2.6979016e-10
4.6501507e-13,1.0,1.1502008e-11,3.4154723e-12,1.0929334e-12
2.5234703e-10,1.653551e-05,7.7367564e-11,0.99998343,5.832247e-09
9.01475e-09,9.815735e-10,3.1272844e-09,1.0,8.772799e-11
2.5952818e-09,7.902489e-10,1.3560128e-07,0.9999999,2.1820328e-12
1.0447891e-11,1.8124939e-10,4.2589763e-09,1.0,3.013901e-11
2.8535948e-07,3.7566501e-06,0.003499649,0.9964962,8.0021444e-08
3.08602e-11,8.6855434e-10,9.956096e-11,1.0,4.0882597e-10
5.7555755e-10,1.4880536e-11,2.8059444e-10,1.0,2.3884636e-08
0.00011230116,6.4877415e-05,1.2325285e-06,0.99982166,1.098922e-10
1.0341599e-09,1.0,2.358001e-10,3.099386e-10,3.0635314e-12
7.7542806e-13,1.0,1.5998901e-09,1.47799435e-08,3.622402e-08
4.2878465e-09,4.5886645e-06,8.742454e-09,0.99999547,1.6272569e-09
9.9901296e-11,1.0,1.3030482e-12,4.593967e-13,7.595046e-13
5.8818074e-15,1.0,3.4527587e-15,2.9718652e-14,1.13044475e-13
1.0503088e-12,6.2569394e-12,2.1037035e-11,1.0,3.3046016e-13
1.36732665e-11,1.2208619e-07,6.568421e-12,0.9999999,8.7734523e-13
0.14030467,0.1006233,4.7537807e-07,0.75667727,0.0023942448
0.000876714,0.22575721,1.4460673e-07,0.6894189,0.08394709
6.672556e-12,6.0847887e-09,3.8029366e-09,1.0,1.3049554e-09
7.290841e-08,2.669677e-08,2.7997139e-08,0.9999999,2.153997e-09
1.7844216e-11,1.0,4.7334043e-11,1.032355e-09,8.218764e-09
9.315454e-12,1.0,3.0707227e-13,3.7788338e-13,4.801112e-09
7.239981e-06,6.779806e-08,2.0461142e-09,0.9999927,8.753666e-10
3.280059e-14,1.0,6.7508255e-14,2.1904651e-14,2.3782119e-11
2.3089583e-14,1.0,5.9834877e-15,2.5489813e-15,1.025292e-12
1.1046544e-09,3.6758172e-10,1.2476802e-10,1.0,2.5338366e-13
1.581838e-13,9.197945e-11,2.4251573e-12,1.0,2.6616082e-10
1.3185528e-09,4.8582627e-10,2.972682e-10,1.0,5.4273794e-09
3.3847528e-12,5.058975e-12,3.3520237e-08,1.0,1.0517705e-10
0.008804566,0.13839526,2.3654275e-08,0.8523927,0.00040756457
3.3628125e-10,3.0520763e-11,1.0372597e-08,1.0,2.144192e-11
1.2925098e-07,3.2310265e-06,2.1471545e-08,0.99999666,8.503182e-14
9.477421e-09,0.00013310557,4.2768202e-12,0.99986696,5.477388e-09
0.07268351,0.0010059624,7.834423e-08,0.92631054,9.1398465e-11
1.2692388e-12,1.2171315e-09,3.038281e-13,1.0,1.491872e-13
1.8044315e-09,2.6042912e-10,1.8164734e-10,1.0,3.58784e-11
2.5480277e-13,3.5157835e-10,5.6141236e-10,1.0,1.4989274e-10
1.1235898e-09,1.5611328e-09,8.729782e-09,1.0,1.0292347e-08
2.7670282e-08,6.0764096e-06,4.9919416e-11,0.9999939,3.006617e-11
9.422885e-12,2.436587e-08,6.416033e-10,0.9999993,7.040539e-07
4.086453e-09,8.0801506e-08,5.9349444e-13,1.0,1.06288e-11
1.9021762e-13,1.1257496e-11,6.952609e-14,1.0,1.7205033e-14
9.263371e-13,2.4794893e-12,2.1375204e-09,1.0,5.069172e-10
1.7242082e-13,1.3255544e-07,2.5414215e-10,0.9999999,7.376177e-12
0.00014340998,1.992745e-08,1.3676207e-10,0.9998566,1.8188084e-10
4.907269e-10,2.949811e-09,7.323519e-09,1.0,3.2159088e-11
8.165566e-09,1.0,1.714845e-13,3.0728797e-09,3.317485e-13
1.736966e-12,9.6356305e-11,3.1334285e-10,1.0,2.2830431e-12
6.7042483e-09,0.0001280545,5.99438e-11,0.99987197,1.1732032e-15
1.7870432e-06,1.1450818e-08,9.678835e-12,0.9999982,2.3945962e-10
4.6348502e-12,2.772498e-11,2.234423e-10,1.0,3.7239743e-12
3.5299207e-05,7.6085686e-05,5.060446e-11,0.99988866,9.228367e-13
2.2508796e-13,7.516887e-14,1.0858732e-11,1.0,2.4421543e-13
3.821046e-12,1.8430216e-12,2.411093e-12,1.0,1.6736375e-12
0.00030635574,0.15015915,9.088809e-09,0.8495255,8.988886e-06
3.6568513e-15,2.7776203e-11,3.3853005e-12,1.0,1.0495986e-12
8.840185e-09,0.02169796,8.8149275e-09,0.978302,3.351429e-11
9.402085e-09,0.0030076115,3.7170056e-09,0.99699247,8.9912564e-11
2.1856778e-08,1.2816353e-11,5.180405e-12,1.0,6.7375047e-12
1.4363647e-08,9.974167e-10,5.573897e-09,1.0,7.1758224e-11
1.08493714e-10,1.02653594e-10,2.2031806e-12,1.0,2.4220152e-13
7.024998e-06,0.0071172165,1.7271975e-07,0.9927653,0.00011029324
1.6026311e-07,0.06823266,9.725375e-07,0.9313959,0.0003704051
6.173657e-07,1.6802215e-08,1.9232294e-09,0.9999994,5.920622e-11
5.8421115e-11,2.7842537e-11,2.291192e-07,0.99999976,2.1828508e-09
2.3137356e-05,0.9964343,5.3456885e-11,0.003541845,7.559881e-07
4.364704e-06,2.4037234e-05,7.387509e-07,0.9999708,6.390924e-08
5.3662202e-08,1.8668352e-12,1.0283411e-09,0.99999976,1.8657695e-07
2.2501252e-12,2.6000999e-10,7.6168205e-10,1.0,2.8266708e-12
1.0704762e-05,0.28191984,1.5482698e-09,0.7180686,8.712949e-07
7.7633467e-13,1.0,2.181092e-10,2.3054573e-12,1.1639171e-10
4.3145727e-07,0.99999666,2.0275648e-08,2.8901914e-06,4.455816e-08
1.4955748e-07,4.7843392e-11,1.1546119e-07,0.99999976,2.0518772e-11
3.8256277e-12,1.5122889e-11,6.8045605e-09,1.0,9.972435e-11
5.708129e-08,5.7301847e-10,1.1177649e-13,1.0,1.2093163e-08
4.608161e-12,2.360019e-10,1.5386397e-11,1.0,6.5661615e-10
0.0004020676,3.3690565e-06,2.770535e-09,0.95419765,0.045396872
6.5628133e-06,1.6616687e-08,1.3164535e-12,0.99999344,1.7657906e-11
8.433593e-09,6.62468e-08,3.6163224e-09,0.9999999,2.545726e-10
2.0222457e-07,1.16333325e-10,6.0824345e-12,0.99999917,7.049475e-07
2.5173532e-07,2.5976485e-09,7.153455e-08,0.99999976,2.1028682e-11
8.570476e-10,1.0,4.1921098e-12,1.5510622e-10,7.3855207e-13
0.0674982,1.2326356e-08,6.918003e-06,0.9324949,4.0667633e-10
0.002222335,1.3539724e-06,9.810964e-07,0.99777484,5.557011e-07
5.2078467e-12,7.5898154e-10,3.4083246e-12,1.0,1.4075477e-13
0.15090679,0.0963709,3.601435e-05,0.7526814,4.917981e-06
0.0050283037,0.115819246,0.00013745055,0.8789873,2.7732334e-05
2.8028477e-09,1.0,4.123481e-13,4.0745146e-12,2.9727062e-10
0.0018324652,2.089641e-05,4.7504427e-09,0.9976177,0.00052897754
5.9306527e-05,2.835971e-06,1.4501315e-08,0.9999379,1.764554e-12
6.4109655e-13,1.721386e-09,1.28771775e-08,1.0,1.0968965e-09
1.76444e-11,2.1440336e-09,2.3235355e-11,1.0,7.2154713e-12
5.0311122e-05,3.0416789e-10,1.2669827e-09,0.9999497,3.5943874e-12
1.5493906e-09,3.1783762e-09,9.155704e-09,1.0,3.4332603e-11
5.476303e-08,0.12814102,1.693075e-07,0.87185884,4.3352943e-09
1.7204217e-08,7.977218e-13,3.053556e-09,1.0,1.0388719e-14
5.878199e-15,1.0,9.613236e-17,5.1376396e-17,1.173543e-15
3.434385e-07,0.99999964,1.6337096e-12,7.9358655e-12,1.3746724e-13
